track_id,gt_label,coverage,unobs_frac,cluster_cd,asset_cd,asset_unobs_recon,cluster_unobs_recon,n_obs_pts
2,countertop,0.0767,0.9233,0.1385,0.2295,0.2933,0.1711,101209
0,tomato,0.0,1.0,0.6507,0.5948,0.1898,0.1839,96837
26,armchair,0.4363,0.5637,0.0692,0.0701,0.088,0.1259,69655
8,bowl,0.565,0.435,0.4833,0.3004,0.0531,0.0646,66111
7,book,1.0,0.0,0.2955,0.4871,,,51029
33,sofa,0.4353,0.5647,0.066,0.1615,0.1376,0.131,48494
160,book,0.0,1.0,2.5992,2.1795,1.9004,2.2661,41298
142,houseplant,0.5213,0.4787,0.3628,0.4278,0.4073,0.1573,41153
85,diningtable,0.1057,0.8943,0.6381,0.9496,1.0523,0.1437,39793
178,clothesdryer,0.3567,0.6433,0.1182,0.1479,0.1558,0.1971,36372
9,chair,0.767,0.233,0.4113,0.0472,0.0763,0.0558,33887
163,pillow,0.3563,0.6437,0.3794,0.2905,0.1052,0.1295,33363
106,vase,0.6193,0.3807,0.6712,0.8542,0.5923,0.0714,32998
24,cellphone,1.0,0.0,0.2602,0.4167,,,31733
147,toilet,0.6747,0.3253,0.0466,0.0337,0.0337,0.1053,26455
92,shelf,0.856,0.144,0.097,0.1195,0.0476,0.0589,16501
151,sinkbasin,0.512,0.488,0.1424,0.1964,0.0582,0.0802,14948
17,mug,0.9643,0.0357,0.2539,0.3018,0.0448,0.052,12726
36,floorlamp,0.194,0.806,0.1562,0.1803,0.1576,0.1237,12264
31,painting,0.883,0.117,0.0193,0.0279,0.0153,0.0869,12041
14,painting,0.8973,0.1027,0.0219,0.0531,0.0983,0.0941,12010
34,television,0.9743,0.0257,0.033,0.174,0.0386,0.0552,11763
12,painting,0.919,0.081,0.0162,0.0289,0.1906,0.0859,10966
4,creditcard,0.9787,0.0213,0.3153,0.1077,0.0166,0.0533,10804
41,diningtable,0.6077,0.3923,0.1194,0.1858,0.0845,0.0847,10747
68,painting,0.0,1.0,1.4957,0.8378,0.5665,0.979,10045
66,chair,0.0373,0.9627,1.3779,1.2655,0.9671,0.1592,10022
13,statue,0.2623,0.7377,0.6346,0.4877,0.4363,0.0883,9776
153,candle,0.0,1.0,0.21,0.253,0.1181,0.1131,8534
76,chair,0.5977,0.4023,0.2875,0.0383,0.0629,0.061,8479
57,painting,0.553,0.447,1.1079,1.333,1.3335,0.1041,8087
128,chair,0.0273,0.9727,0.7575,0.3272,0.2451,0.2384,7759
116,vase,0.0,1.0,0.6155,0.5509,0.4597,0.3836,7707
18,tomato,0.0,1.0,0.6932,0.5174,0.4238,0.4734,7488
56,vase,0.0,1.0,0.8814,0.8824,0.755,0.777,6641
167,laundryhamper,0.5273,0.4727,0.0609,0.0513,0.0866,0.1038,5579
45,houseplant,0.9327,0.0673,0.1092,0.0243,0.0294,0.0593,5143
15,diningtable,0.002,0.998,0.3735,0.5454,0.791,0.4019,3968
22,apple,0.2543,0.7457,0.4727,0.3063,0.2162,0.0827,3060
23,pen,0.988,0.012,0.1069,0.2082,0.2219,0.0507,2833
115,chair,0.9837,0.0163,0.0672,0.0254,0.0621,0.0683,2600
184,book,1.0,0.0,0.0365,0.1419,,,1736
152,faucet,0.5127,0.4873,0.0691,0.044,0.0551,0.0641,1627
47,pillow,0.7923,0.2077,0.0227,0.019,0.0339,0.0787,1591
21,statue,0.7457,0.2543,0.2441,0.031,0.0944,0.0907,1410
172,chair,0.0633,0.9367,0.3257,0.4823,0.5638,0.2348,1321
5,diningtable,0.0,1.0,0.4343,0.4658,0.7474,0.6786,1226
43,cellphone,0.0,1.0,0.5738,0.6309,0.5948,0.4851,1175
1,peppershaker,0.6047,0.3953,0.1636,0.2191,0.175,0.068,1155
125,spraybottle,0.7993,0.2007,0.0801,0.0202,0.0564,0.0723,1094
61,kettle,0.7193,0.2807,0.0715,0.0161,0.024,0.082,1017
16,spatula,0.4983,0.5017,0.4297,0.1874,0.2447,0.0742,829
27,toaster,0.0,1.0,0.2907,0.3158,0.3865,0.3334,625
69,butterknife,0.0,1.0,0.5197,0.5588,0.5465,0.4445,521
207,plate,0.0,1.0,0.4207,0.6449,0.6264,0.2204,381
158,remotecontrol,1.0,0.0,0.0154,0.0065,,,323
6,tvstand,0.0,1.0,0.4659,0.5141,0.6964,0.6223,298
