scene,mode,iou_f1,recall@0.5,centroid_m,rotation_deg,scale_err,cd_f1@1m,class_free@1m,n_pred
hallway-1,layout,0.0667,0.0,0.2919,5.9277,0.3749,0.4889,0.5614,33.0
hallway-1,icp,0.1111,0.0175,0.3085,18.2373,0.3575,0.4889,0.5789,33.0
hallway-1,scale_icp,0.0889,0.0175,0.2603,19.7708,0.2402,0.4667,0.5789,33.0
hallway-1,gate,0.1039,0.0175,0.2603,19.7708,0.2402,0.3896,0.5263,20.0
lounge-0,layout,0.1299,0.0,0.2834,4.7809,0.6535,0.6753,0.8718,38.0
lounge-0,icp,0.1558,0.0,0.3058,10.316,0.6433,0.6753,0.8462,38.0
lounge-0,scale_icp,0.1558,0.0,0.2441,15.2634,0.4769,0.6234,0.7949,38.0
lounge-0,gate,0.1818,0.0,0.2789,12.4378,0.4995,0.5091,0.5641,16.0
smalloffice-0,layout,0.381,0.0,0.2262,26.0491,0.2622,0.7619,0.9091,10.0
smalloffice-0,icp,0.381,0.0,0.2194,25.7782,0.2628,0.7619,0.9091,10.0
smalloffice-0,scale_icp,0.1905,0.0,0.2063,28.5446,0.2617,0.6667,0.9091,10.0
smalloffice-0,gate,0.2667,0.0,0.2063,28.5446,0.2617,0.5333,0.6364,4.0
smalloffice-1,layout,0.1111,0.0,0.0746,6.2799,0.6906,0.7778,0.7,8.0
smalloffice-1,icp,0.1111,0.0,0.0634,11.2302,0.6953,0.7778,0.7,8.0
smalloffice-1,scale_icp,0.1111,0.1,0.0507,5.6478,0.4035,0.7778,0.7,8.0
smalloffice-1,gate,0.1429,0.1,0.0507,5.6478,0.4035,0.5714,0.7,4.0
MEAN,layout,0.1722,0.0,0.219,10.7594,0.4953,0.676,0.7606,22.25
MEAN,icp,0.1898,0.0044,0.2243,16.3904,0.4897,0.676,0.7586,22.25
MEAN,scale_icp,0.1366,0.0294,0.1903,17.3067,0.3456,0.6337,0.7457,22.25
MEAN,gate,0.1738,0.0294,0.199,16.6003,0.3512,0.5009,0.6067,11.0
