front_end,reg,f1,precision,recall,recall@0.5,scan2cad_accuracy,scale_err_median,cd_f1,n_pred
YOLOE,+icp,0.5217,0.6176,0.4516,0.2258,0.1505,0.2896,0.7578,68.0
YOLOE,+icp+gate,0.4412,0.6977,0.3226,0.1613,0.086,0.3085,0.5882,43.0
YOLOE,+scale+icp,0.472,0.5588,0.4086,0.2366,0.0538,0.3151,0.7578,68.0
YOLOE,+scale+icp+gate,0.3824,0.6047,0.2796,0.1935,0.043,0.3151,0.5882,43.0
SAM3,+icp,0.4498,0.4052,0.5054,0.2473,0.1398,0.2809,0.7464,116.0
SAM3,+icp+gate,0.4598,0.4938,0.4301,0.2043,0.1398,0.2772,0.8161,81.0
SAM3,+scale+icp,0.3923,0.3534,0.4409,0.2043,0.0645,0.4161,0.7464,116.0
SAM3,+scale+icp+gate,0.3908,0.4198,0.3656,0.1828,0.0645,0.3805,0.8161,81.0
oracle,+icp,0.75,0.7952,0.7097,0.3333,0.1613,0.2921,0.9432,83.0
oracle,+scale+icp,0.6023,0.6386,0.5699,0.4516,0.3226,0.074,0.9432,83.0
