track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
7,sofa,1.962,0.5042,0.4958,0.0432,0.0591,0.1376,True,50396
63,shelf,1.61,0.4175,0.5825,0.0902,0.0285,0.1477,True,9605
15,garbagebag,0.558,0.1568,0.8433,0.1521,0.0867,0.176,True,1968
20,diningtable,1.473,0.1938,0.8063,0.044,0.036,0.1115,True,19653
28,television,1.279,0.0965,0.9035,0.0924,0.0185,0.3797,True,1849
6,painting,0.842,0.9062,0.0938,0.1165,0.079,0.0691,False,7646
4,painting,0.889,0.9175,0.0825,0.0944,0.0868,0.0869,True,11420
9,painting,1.077,0.9177,0.0823,0.1219,0.0878,0.0764,False,6275
2,houseplant,0.826,0.2387,0.7612,0.1796,0.1129,0.1817,True,807
19,houseplant,0.584,0.5118,0.4882,0.1659,0.0711,0.1507,True,2517
40,chair,0.837,0.179,0.821,0.1198,0.0709,0.1699,True,1125
36,houseplant,0.644,0.7147,0.2853,0.1414,0.0562,0.1263,True,986
