config,scene,n_pred,iou_f1,recall@0.5,scan2cad,centroid_m,scale_err,chamfer_m,footprint_iou,cd_f1@1m,cd_micro_f1,class_free@1m
asset_icp_gt,137,78.0,0.4607,0.15,0.05,0.0638,0.403,0.227,0.3791,0.6629,0.382,1.0
asset_icp_gt,200,72.0,0.5455,0.2688,0.1505,0.0454,0.233,0.0998,0.4199,0.7273,0.3879,1.0
asset_icp_gt,428,70.0,0.5276,0.2151,0.0538,0.0631,0.3008,0.286,0.3608,0.7485,0.4908,0.9892
asset_icp_gt,434,47.0,0.464,0.141,0.0256,0.0755,0.3692,0.2456,0.3434,0.592,0.416,0.9103
asset_icp_gt,534,91.0,0.4873,0.2453,0.1321,0.0546,0.324,0.1213,0.3845,0.7208,0.4467,1.0
asset_icp_gt,569,16.0,0.6061,0.4118,0.2353,0.0601,0.2554,0.0773,0.6474,0.7879,0.5455,1.0
asset_icp_gt,573,257.0,0.3837,0.2581,0.1075,0.0795,0.3021,0.2734,0.2185,0.6275,0.316,0.9785
asset_icp_gt,683,8.0,0.5882,0.2222,0.0,0.1036,0.2783,0.1174,0.6007,0.9412,0.5882,1.0
asset_icp_gt,771,37.0,0.3455,0.1507,0.0411,0.0368,0.2875,0.1288,0.3124,0.6182,0.2909,0.9863
asset_icp_gt,912,59.0,0.4409,0.1765,0.0882,0.0748,0.4374,0.1832,0.3518,0.6299,0.3622,1.0
asset_layout_gt,137,78.0,0.3483,0.09,0.04,0.062,0.364,0.2348,0.3725,0.6517,0.382,1.0
asset_layout_gt,200,72.0,0.4727,0.1828,0.1398,0.0622,0.2171,0.108,0.4026,0.7394,0.3879,1.0
asset_layout_gt,428,70.0,0.4785,0.1828,0.0538,0.0527,0.3175,0.2904,0.3547,0.7607,0.4908,0.9892
asset_layout_gt,434,47.0,0.368,0.0897,0.0385,0.1348,0.4959,0.2516,0.335,0.592,0.416,0.9103
asset_layout_gt,534,91.0,0.4264,0.1981,0.1038,0.082,0.2906,0.1263,0.3798,0.7208,0.4467,1.0
asset_layout_gt,569,16.0,0.4848,0.2353,0.1765,0.1037,0.256,0.0856,0.6299,0.7879,0.5455,1.0
asset_layout_gt,573,257.0,0.3386,0.1828,0.086,0.0947,0.3071,0.2786,0.2144,0.623,0.316,0.9731
asset_layout_gt,683,8.0,0.4706,0.1111,0.0,0.1148,0.2729,0.1236,0.5261,0.9412,0.5882,1.0
asset_layout_gt,771,37.0,0.3091,0.1096,0.0411,0.0553,0.3262,0.1324,0.3079,0.6182,0.2909,0.9863
asset_layout_gt,912,59.0,0.3465,0.0882,0.0735,0.092,0.3395,0.1884,0.3466,0.6299,0.3622,1.0
asset_scaleicp_gt,137,78.0,0.4494,0.08,0.04,0.0564,0.3968,0.2368,0.3747,0.6629,0.382,1.0
asset_scaleicp_gt,200,72.0,0.5091,0.2473,0.043,0.0478,0.3156,0.0927,0.5257,0.7394,0.3879,1.0
asset_scaleicp_gt,428,70.0,0.4785,0.2473,0.0323,0.0387,0.2996,0.2848,0.3968,0.7607,0.4908,0.9892
asset_scaleicp_gt,434,47.0,0.4,0.1282,0.0128,0.0765,0.4113,0.2323,0.3571,0.592,0.416,0.9103
asset_scaleicp_gt,534,91.0,0.4569,0.2075,0.1038,0.0585,0.2691,0.1217,0.4717,0.7208,0.4467,1.0
asset_scaleicp_gt,569,16.0,0.6667,0.4118,0.0588,0.08,0.2857,0.0695,0.5468,0.7879,0.5455,1.0
asset_scaleicp_gt,573,257.0,0.3386,0.1882,0.0645,0.0763,0.2916,0.274,0.2547,0.6275,0.316,0.9785
asset_scaleicp_gt,683,8.0,0.4706,0.2222,0.0,0.1024,0.3595,0.1286,0.5091,0.9412,0.5882,1.0
asset_scaleicp_gt,771,37.0,0.3273,0.0685,0.0137,0.0475,0.3863,0.1382,0.3517,0.6182,0.2909,0.9726
asset_scaleicp_gt,912,59.0,0.3937,0.1029,0.0588,0.079,0.3355,0.1823,0.3376,0.6299,0.3622,1.0
cluster_gt,137,78.0,0.3258,0.21,0.12,0.0468,0.2602,0.2668,0.3487,0.6404,0.3596,1.0
cluster_gt,200,73.0,0.3855,0.2043,0.0968,0.0778,0.3108,0.1202,0.4643,0.7229,0.3976,1.0
cluster_gt,428,70.0,0.4049,0.2043,0.129,0.0364,0.3656,0.1384,0.3339,0.7362,0.4663,0.9892
cluster_gt,434,47.0,0.448,0.2179,0.0897,0.0443,0.263,0.2409,0.4034,0.608,0.432,0.9103
cluster_gt,534,91.0,0.3553,0.1887,0.0849,0.0512,0.3699,0.116,0.4077,0.6904,0.4162,1.0
cluster_gt,569,16.0,0.6061,0.3529,0.0588,0.1148,0.4687,0.073,0.7764,0.7879,0.5455,1.0
cluster_gt,573,257.0,0.307,0.2581,0.1774,0.0331,0.1716,0.2555,0.2708,0.6456,0.3205,0.9892
cluster_gt,683,8.0,0.5882,0.3333,0.3333,0.0213,0.12,0.1052,0.7358,0.8235,0.5882,1.0
cluster_gt,771,37.0,0.3455,0.2055,0.0685,0.0323,0.2545,0.1174,0.4003,0.6182,0.3091,0.9589
cluster_gt,912,59.0,0.2835,0.1176,0.0735,0.0365,0.4752,0.1412,0.3185,0.5827,0.3307,1.0
